company,clean_name,sblo_name,email,search_query,vendor_registration_url,portal_type,notes
L.P.C. & D. INC,L.P.C. & D.,,,"""L.P.C. & D."" supplier portal vendor registration",,,
L3Harris,L3Harris,,,"""L3Harris"" supplier portal vendor registration",,,
LACY CONSTRUCTION COMPANY,LACY CONSTRUCTION COMPANY,,,"""LACY CONSTRUCTION COMPANY"" supplier portal vendor registration",,,
LAS VEGAS PAVING CORPORATION,LAS VEGAS PAVING,,,"""LAS VEGAS PAVING"" supplier portal vendor registration",,,
Lavenia Kitchen,Lavenia Kitchen,,,"""Lavenia Kitchen"" supplier portal vendor registration",,,
LE GRAND JOHNSON CONSTRUCTION CO,LE GRAND JOHNSON CONSTRUCTION CO,,,"""LE GRAND JOHNSON CONSTRUCTION CO"" supplier portal vendor registration",,,
Leidos,Leidos,,,"""Leidos"" supplier portal vendor registration",,,
Leo A Daly,Leo A Daly,,,"""Leo A Daly"" supplier portal vendor registration",,,
LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN,,,"""LOCKHEED MARTIN"" supplier portal vendor registration",,,
Loyal Source,Loyal Source,,,"""Loyal Source"" supplier portal vendor registration",,,
"M V M, Inc.",M V M,,,"""M V M"" supplier portal vendor registration",,,
"MACROSYS, LLC",MACROSYS,,,"""MACROSYS"" supplier portal vendor registration",,,
Manager/ SBLO Sikorksy,Manager/ SBLO Sikorksy,,,"""Manager/ SBLO Sikorksy"" supplier portal vendor registration",,,
Mantech,Mantech,,,"""Mantech"" supplier portal vendor registration",,,
Maranda Sterling,Maranda Sterling,,,"""Maranda Sterling"" supplier portal vendor registration",,,
Maximus Federal,Maximus Federal,,,"""Maximus Federal"" supplier portal vendor registration",,,
"MCCARTHY BUILDING COMPANIES, INC.",MCCARTHY BUILDING COMPANIES,,,"""MCCARTHY BUILDING COMPANIES"" supplier portal vendor registration",,,
McDean,McDean,,,"""McDean"" supplier portal vendor registration",,,
McKissack-Liro Joint Venture,McKissack-Liro Joint Venture,,,"""McKissack-Liro Joint Venture"" supplier portal vendor registration",,,
MICHAEL BAKER JR INCORPORATED,MICHAEL BAKER JR INCORPORATED,,,"""MICHAEL BAKER JR INCORPORATED"" supplier portal vendor registration",,,
